country,car_make,car_model,car_model_year,car_color,car_price,car_condition,salesperson_name,sales_date,sales_location
Finland,Mazda,Ms,2009,Pink,642363.33,new,Darin Oddie,9/26/2021,Karvia
Pakistan,Mercedes-Benz,Rev,2017,Puce,736781.74,certified pre-owned,Domenico Aubury,4/3/2022,Keti Bandar
Sri Lanka,Toyota,Dr,2012,Orange,300066.41,new,Conroy Brosoli,1/15/2022,Matara
Yemen,Mitsubishi,Ms,2007,Orange,777653.87,certified pre-owned,Lutero Lambertazzi,10/22/2021,Al ‘Āqir
Japan,Infiniti,Mr,2009,Puce,18923.71,new,Thekla Cowan,1/28/2022,Toki
Germany,Lexus,Mr,2003,Red,595604.09,new,Prentiss Sola,8/23/2021,Berlin
Indonesia,Smart,Mrs,1990,Aquamarine,758353.73,certified pre-owned,Jared Gladman,3/6/2022,Cilampuyang
China,Plymouth,Honorable,1992,Mauv,970228.12,used,Gaylord Burry,7/6/2022,Zhouling
Botswana,Land Rover,Dr,2002,Green,389114.54,certified pre-owned,Linell MacMenamy,1/10/2021,Gaborone
Indonesia,Volkswagen,Ms,1990,Fuscia,789550.25,used,Wilie Skegg,7/12/2020,Sukasari
French Guiana,Ford,Rev,2002,Green,42133.24,certified pre-owned,Mahalia Jent,2/21/2022,Kourou
France,BMW,Mr,1996,Purple,279794.16,used,Ruddie Swaton,5/21/2021,Valence
China,Ford,Rev,2020,Maroon,952212.58,new,Toddy Dunklee,5/23/2022,Pinggang
United States,Chevrolet,Dr,1997,Crimson,499999.58,certified pre-owned,Kory Merrigans,1/18/2022,Salt Lake City
France,Suzuki,Ms,2014,Orange,685141.84,certified pre-owned,Fanny Olech,6/19/2021,Amiens
China,Pontiac,Dr,2007,Fuscia,116570.09,used,Giacinta Laraway,8/2/2020,Laoshawan
China,Toyota,Mrs,1994,Goldenrod,933330.81,new,Maurita McDarmid,1/24/2020,Daitou
Poland,Dodge,Mr,2012,Mauv,57969.08,certified pre-owned,Marin Goranov,12/30/2021,Olszówka
China,Nissan,Dr,2000,Blue,949006.7,used,Haskel Hayhow,2/15/2020,Xagmakajor
Indonesia,Chevrolet,Dr,2012,Green,51468.2,used,Dennie Bartlosz,12/26/2022,Gaplokan
Ecuador,Subaru,Rev,1998,Pink,159327.02,certified pre-owned,Tiffie Yoodall,10/26/2020,Ambato
Canada,Mercedes-Benz,Mrs,1996,Red,829927.97,certified pre-owned,Fannie Biles,10/23/2021,Burnaby
Philippines,Buick,Dr,1998,Puce,423185.17,certified pre-owned,Jorrie Camplejohn,12/12/2022,Rosario
Mexico,Toyota,Rev,2018,Teal,582160.26,used,Hieronymus Stephens,8/29/2022,Vicente Guerrero
Jamaica,Audi,Ms,2021,Mauv,327219.52,certified pre-owned,Ephrayim Ehlerding,9/24/2022,Albert Town
Czech Republic,Mercedes-Benz,Mrs,2010,Indigo,885659.83,used,Gerianna Gerant,2/7/2020,Kovářov
China,BMW,Honorable,2016,Indigo,225950.93,new,Cordie Waldocke,5/1/2021,Yujin
Netherlands,Mercedes-Benz,Honorable,1997,Orange,285612.96,used,Langsdon Soldi,3/27/2021,Krimpen aan den IJssel
Indonesia,Volkswagen,Rev,2011,Orange,191679.62,certified pre-owned,Morna Prinett,11/26/2020,Sumurasin
Japan,Ford,Dr,2013,Green,941716.21,certified pre-owned,Kerrill Guard,5/19/2022,Omigawa
Indonesia,Honda,Mrs,2013,Yellow,148051.63,new,Valencia Dunseath,7/30/2020,Sanankerto
China,Mercury,Mrs,1993,Teal,79620.67,used,Piotr Scurman,8/27/2020,Jingchuan
Hungary,Ford,Ms,2021,Aquamarine,575412.43,new,Codee Henriksson,12/13/2022,Miskolc
Poland,Maybach,Rev,1998,Mauv,197935.98,new,Jennica Meineking,11/11/2021,Łubowo
Indonesia,Pontiac,Honorable,2001,Green,157648.96,certified pre-owned,Ceil Ambrosi,11/30/2022,Tiron
Philippines,Kia,Mrs,2003,Yellow,362870.73,certified pre-owned,Roshelle Malpass,10/26/2022,Balogo
China,Lotus,Rev,1991,Blue,180273.28,new,Damara Mathen,9/23/2022,Daxi
Belarus,BMW,Ms,2010,Yellow,955317.75,new,Damien Castles,4/15/2022,Lyozna
Poland,Volkswagen,Honorable,2009,Indigo,554140.63,certified pre-owned,Terry Drayson,9/16/2021,Bogatynia
Ukraine,Mitsubishi,Rev,2002,Red,570918.34,certified pre-owned,Therine Gimson,11/3/2020,Chornukhy
United States,Audi,Rev,1990,Green,173770.56,certified pre-owned,Fremont Bodleigh,11/1/2021,El Paso
Philippines,Ford,Mrs,2009,Maroon,912001.66,used,Aurlie Bowering,7/26/2020,New Leyte
China,Lincoln,Honorable,2012,Indigo,362963.28,new,Kristin Hartly,5/29/2020,Shuiche
